date,site,latitude,longitude,co,nox,no2,o3,so2,pm10,pm25
2021-07-02 13:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,56.79666,29.57068,,,,
2023-01-03 02:00:00,Billingham,54.60537,-1.275039,,4.76629,3.68539,,,,
2021-03-03 21:00:00,Birkenhead Borough Road,53.388624,-3.024942,,86.5674,46.18496,,,,
2021-10-07 13:00:00,Bath A4 Roadside,51.390922,-2.35503,,44.18984,24.2307,,,,
2020-12-04 15:00:00,Ballymena Ballykeel,54.861595,-6.250873,,3.96938,2.37936,,,,
2015-01-12 19:00:00,Barnsley Gawber,53.56292,-1.510436,,11.31387,8.97775,58.72347,2.27307,,
2023-05-02 17:00:00,Birmingham Ladywood,52.481346,-1.918235,,80.74298,66.78474,10.82667,1.20541,30.325,15.212
2017-05-02 16:00:00,Birkenhead Borough Road,53.388624,-3.024942,,40.37001,33.62414,,,,
2020-10-02 11:00:00,Billingham,54.60537,-1.275039,,10.38897,6.4502,,,,
2020-08-09 20:00:00,Ballymena Ballykeel,54.861595,-6.250873,,4.18926,3.08602,,0.47191,,
2023-12-08 15:00:00,Armagh Roadside,54.353728,-6.654558,,40.33749,10.95432,,,8.696,
2018-10-02 15:00:00,Ballymena Ballykeel,54.861595,-6.250873,,31.27792,25.45383,,,,
2020-04-07 09:00:00,Aston Hill,52.50385,-3.034178,,1.64239,0.79402,25.79442,,,
2021-10-12 22:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,131.07108,55.384,,,,
2019-09-12 13:00:00,Bath A4 Roadside,51.390922,-2.35503,,190.29731,61.31422,,,,
2019-12-04 04:00:00,Belfast Centre,54.59965,-5.928833,0.095578,19.2906,16.93545,69.00133,0.37195,21.6,16.5
2023-08-04 20:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,38.5616,23.5728,,,,
2023-01-06 10:00:00,Belfast Centre,54.59965,-5.928833,0.03848,11.00657,7.50933,70.14337,0.3549,12.175,5.684
2019-07-07 16:00:00,Ballymena Ballykeel,54.861595,-6.250873,,2.44657,1.11042,,,,
2021-04-07 19:00:00,Belfast Centre,54.59965,-5.928833,0.146722,7.58519,6.21094,46.15056,0.92545,8.075,5.354
2023-07-02 19:00:00,Bath A4 Roadside,51.390922,-2.35503,,170.01485,55.41307,,,,
2020-02-05 21:00:00,Bath A4 Roadside,51.390922,-2.35503,,23.94937,18.659,,,,
2018-12-04 14:00:00,Armagh Roadside,54.353728,-6.654558,,86.08965,27.52542,,,35.9,
2023-07-07 19:00:00,Belfast Centre,54.59965,-5.928833,0.05092,9.32345,8.89808,70.3735,0.13957,9.4,5.519
2020-01-01 22:00:00,Blackburn Accrington Road,53.747763,-2.45268,,26.39824,20.46375,,,,
2016-12-05 17:00:00,Billingham,54.60537,-1.275039,,10.19697,8.49724,,,,
2017-03-06 06:00:00,Billingham,54.60537,-1.275039,,13.65429,9.36695,,,,
2023-11-02 12:00:00,Aberdeen Erroll Park,57.1574,-2.09477,,15.23523,9.51516,68.80176,,13.525,2.335
2023-01-08 12:00:00,Birkenhead Borough Road,53.388624,-3.024942,,16.58516,10.33663,,,,
2023-06-02 15:00:00,Ballymena Antrim Road,54.851491,-6.274961,,106.28065,47.26894,,,,
2023-07-03 03:00:00,Aston Hill,52.50385,-3.034178,,2.21514,1.68853,,,,
2022-07-07 22:00:00,Aberdeen Erroll Park,57.1574,-2.09477,,9.25285,5.83626,57.38311,,1.925,0.943
2018-04-09 17:00:00,Blackburn Accrington Road,53.747763,-2.45268,,38.96899,21.32604,,,,
2018-12-12 16:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,122.62562,49.20132,,,20.833,
2023-11-05 04:00:00,Billingham,54.60537,-1.275039,,12.40969,10.85531,,,,
2019-06-10 04:00:00,Barnsley Gawber,53.56292,-1.510436,,8.70925,7.95698,38.91615,0.57585,,
2019-11-02 07:00:00,Ballymena Antrim Road,54.851491,-6.274961,,305.06749,96.82661,,,,
2021-07-09 01:00:00,Barnsley Gawber,53.56292,-1.510436,,30.87705,27.21095,7.51714,0.35676,,
2023-04-07 09:00:00,Ballymena Antrim Road,54.851491,-6.274961,,28.22946,9.93353,,,,
2022-04-08 18:00:00,Ballymena Antrim Road,54.851491,-6.274961,,21.6908,10.53222,,,,
2020-07-09 09:00:00,Birmingham Ladywood,52.481346,-1.918235,,23.2195,15.35949,25.2955,0.38486,5.225,2.877
2022-12-04 23:00:00,Aston Hill,52.50385,-3.034178,,3.9493,3.62011,72.89294,,,
2022-01-03 11:00:00,Aston Hill,52.50385,-3.034178,,8.45857,6.32117,61.91659,,,
2017-10-01 19:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,162.40185,72.40629,,,,
2016-10-01 16:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,141.2606,66.54305,,,,
2015-05-01 06:00:00,Blackburn Accrington Road,53.747763,-2.45268,,28.4011,20.88641,,,,
